Book-Title,Image-URL-M,Book-Author,rating_count,rating_avg
Wild Animus,http://images.amazon.com/images/P/0971880107.01.MZZZZZZZ.jpg,Rich Shapero,2502,1.0195843325339728
The Lovely Bones: A Novel,http://images.amazon.com/images/P/0316666343.01.MZZZZZZZ.jpg,Alice Sebold,1295,4.468725868725869
The Da Vinci Code,http://images.amazon.com/images/P/0385504209.01.MZZZZZZZ.jpg,Dan Brown,898,4.642538975501114
A Painted House,http://images.amazon.com/images/P/044023722X.01.MZZZZZZZ.jpg,John Grisham,838,3.231503579952267
The Nanny Diaries: A Novel,http://images.amazon.com/images/P/0312278586.01.MZZZZZZZ.jpg,Emma McLaughlin,828,3.5301932367149758
Bridget Jones's Diary,http://images.amazon.com/images/P/0330332775.01.MZZZZZZZ.jpg,Helen Fielding,815,3.5276073619631902
The Secret Life of Bees,http://images.amazon.com/images/P/0142001740.01.MZZZZZZZ.jpg,Sue Monk Kidd,774,4.447028423772609
Divine Secrets of the Ya-Ya Sisterhood: A Novel,http://images.amazon.com/images/P/0060928336.01.MZZZZZZZ.jpg,Rebecca Wells,740,3.437837837837838
The Red Tent (Bestselling Backlist),http://images.amazon.com/images/P/0312195516.01.MZZZZZZZ.jpg,Anita Diamant,723,4.334716459197787
Angels &amp; Demons,http://images.amazon.com/images/P/0671027360.01.MZZZZZZZ.jpg,Dan Brown,670,3.708955223880597
Life of Pi,http://images.amazon.com/images/P/0151008116.01.MZZZZZZZ.jpg,Yann Martel,664,4.088855421686747
Snow Falling on Cedars,http://images.amazon.com/images/P/0151001006.01.MZZZZZZZ.jpg,David Guterson,662,3.2522658610271904
The Summons,http://images.amazon.com/images/P/0440241073.01.MZZZZZZZ.jpg,John Grisham,655,3.43206106870229
The Notebook,http://images.amazon.com/images/P/0446605239.01.MZZZZZZZ.jpg,Nicholas Sparks,650,3.56
The Testament,http://images.amazon.com/images/P/0440234743.01.MZZZZZZZ.jpg,John Grisham,617,3.179902755267423
House of Sand and Fog,http://images.amazon.com/images/P/0375727345.01.MZZZZZZZ.jpg,Andre Dubus III,588,3.0306122448979593
Where the Heart Is (Oprah's Book Club (Paperback)),http://images.amazon.com/images/P/0446672211.01.MZZZZZZZ.jpg,Billie Letts,585,4.105982905982906
The Pelican Brief,http://images.amazon.com/images/P/0440214041.01.MZZZZZZZ.jpg,John Grisham,581,2.6110154905335627
Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),http://images.amazon.com/images/P/059035342X.01.MZZZZZZZ.jpg,J. K. Rowling,575,4.895652173913043
The Girls' Guide to Hunting and Fishing,http://images.amazon.com/images/P/0140293248.01.MZZZZZZZ.jpg,Melissa Bank,573,3.1396160558464223
Summer Sisters,http://images.amazon.com/images/P/0385324057.01.MZZZZZZZ.jpg,Judy Blume,573,3.3612565445026177
The Firm,http://images.amazon.com/images/P/0385416342.01.MZZZZZZZ.jpg,John Grisham,569,3.0808435852372584
The Pilot's Wife : A Novel,http://images.amazon.com/images/P/0316601950.01.MZZZZZZZ.jpg,Anita Shreve,568,3.5933098591549295
Harry Potter and the Chamber of Secrets (Book 2),http://images.amazon.com/images/P/0439064872.01.MZZZZZZZ.jpg,J. K. Rowling,556,5.183453237410072
The Brethren,http://images.amazon.com/images/P/0385497466.01.MZZZZZZZ.jpg,JOHN GRISHAM,556,2.8507194244604315
The Joy Luck Club,http://images.amazon.com/images/P/0804106304.01.MZZZZZZZ.jpg,Amy Tan,555,3.0558558558558557
Timeline,http://images.amazon.com/images/P/0345417623.01.MZZZZZZZ.jpg,MICHAEL CRICHTON,552,3.75
A Time to Kill,http://images.amazon.com/images/P/0440211727.01.MZZZZZZZ.jpg,JOHN GRISHAM,549,3.122040072859745
The Street Lawyer,http://images.amazon.com/images/P/0440225701.01.MZZZZZZZ.jpg,JOHN GRISHAM,545,2.851376146788991
Girl with a Pearl Earring,http://images.amazon.com/images/P/0452282152.01.MZZZZZZZ.jpg,Tracy Chevalier,526,4.218631178707224
The Runaway Jury,http://images.amazon.com/images/P/0440221471.01.MZZZZZZZ.jpg,JOHN GRISHAM,520,2.8807692307692307
To Kill a Mockingbird,http://images.amazon.com/images/P/0446310786.01.MZZZZZZZ.jpg,Harper Lee,510,4.7
1st to Die: A Novel,http://images.amazon.com/images/P/0446610038.01.MZZZZZZZ.jpg,James Patterson,509,3.5756385068762278
The Chamber,http://images.amazon.com/images/P/0385424728.01.MZZZZZZZ.jpg,John Grisham,509,3.0157170923379173
Interview with the Vampire,http://images.amazon.com/images/P/0345337662.01.MZZZZZZZ.jpg,Anne Rice,508,3.5511811023622046
The Horse Whisperer,http://images.amazon.com/images/P/0440222656.01.MZZZZZZZ.jpg,Nicholas Evans,507,2.6863905325443787
The Rainmaker,http://images.amazon.com/images/P/044022165X.01.MZZZZZZZ.jpg,JOHN GRISHAM,501,2.9221556886227544
Message in a Bottle,http://images.amazon.com/images/P/0446523569.01.MZZZZZZZ.jpg,Nicholas Sparks,496,2.778225806451613
The Poisonwood Bible: A Novel,http://images.amazon.com/images/P/0060930535.01.MZZZZZZZ.jpg,Barbara Kingsolver,494,3.6093117408906883
"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",http://images.amazon.com/images/P/0385484518.01.MZZZZZZZ.jpg,MITCH ALBOM,493,4.354969574036511
Good in Bed,http://images.amazon.com/images/P/0743418174.01.MZZZZZZZ.jpg,Jennifer Weiner,490,4.055102040816327
Jurassic Park,http://images.amazon.com/images/P/0345370775.01.MZZZZZZZ.jpg,Michael Crichton,488,3.42827868852459
The Client,http://images.amazon.com/images/P/038542471X.01.MZZZZZZZ.jpg,John Grisham,483,3.0848861283643894
Dreamcatcher,http://images.amazon.com/images/P/0743211383.01.MZZZZZZZ.jpg,Stephen King,481,3.212058212058212
The Partner,http://images.amazon.com/images/P/0385472951.01.MZZZZZZZ.jpg,John Grisham,478,3.290794979079498
She's Come Undone (Oprah's Book Club),http://images.amazon.com/images/P/0671021001.01.MZZZZZZZ.jpg,Wally Lamb,468,3.5705128205128207
Hannibal,http://images.amazon.com/images/P/0440224675.01.MZZZZZZZ.jpg,Thomas Harris,468,2.7606837606837606
The Reader,http://images.amazon.com/images/P/0679442790.01.MZZZZZZZ.jpg,Bernhard Schlink,466,3.0128755364806867
The King of Torts,http://images.amazon.com/images/P/0385508042.01.MZZZZZZZ.jpg,John Grisham,458,3.039301310043668
Suzanne's Diary for Nicholas,http://images.amazon.com/images/P/0316969443.01.MZZZZZZZ.jpg,James Patterson,457,3.8205689277899344
